source_index,target_index,source_entity,target_entity,type,count
C0443315,C0013990,subcutaneous,emphysema,modify,1076
C1272706,C0184511,interval,improvement,modify,915
C0015252,C0175730,removal,tube,located_at,918
C0024109,C4068833,pulmonary,vascularity,located_at,1046
C0205090,C0178499,right,base,modify,900
C0205099,C0205132,central,line,modify,905
C0205090,C0934569,right,hemithorax,modify,899
C0205090,C1269845,right,hemidiaphragm,modify,894
C0205307,C0456389,normal,size,modify,892
C0205178,C1704258,acute,abnormality,modify,879
C0205400,C0032225,thickening,pleural,located_at,994
C0199168,C0025080,medical,devices,modify,875
C0175722,C0025066,clips,mediastinal,located_at,1131
C0443246,C1269845,left,hemidiaphragm,modify,873
C0006660,C0003483,calcification,aorta,located_at,870
C0205219,C0029053,diffuse,opacities,modify,854
C0443246,C0032326,left,pneumothorax,modify,853
C0205108,C1705504,distal,tip,modify,889
C1547225,C0018800,mild,cardiomegaly,modify,835
C0205360,C0175730,stable,tubes,modify,844
C0205217,C0013687,increased,effusion,modify,828
C0392756,C0449468,decreased,volumes,modify,844
C0443246,C0441994,left,lower,modify,825
C0439775,C1269845,elevation,hemidiaphragm,located_at,802
C0205360,C0013687,stable,effusion,modify,801
C0817096,C0003483,thoracic,aorta,modify,819
previously,noted,previously,noted,modify,795
C0205360,C0205132,stable,lines,modify,795
C0443246,C0013687,left,effusion,modify,788
C0205234,C0029053,focal,opacity,modify,780
greater,C0443246,greater,left,modify,846
pigtail,C0085590,pigtail,catheter,modify,766
C0238767,C0029053,bilateral,opacities,modify,762
C0205360,C0029053,stable,opacity,modify,759
C0439739,C0449774,reticular,pattern,modify,755
C0392756,C0456389,decrease,size,modify,765
ng,C0175730,ng,tube,modify,749
C0029053,C0009450,opacities,infection,suggestive_of,735
C0521530,C0796494,consolidation,lobe,located_at,741
C0443246,C1282910,left,upper,modify,739
C0205090,C0035561,right,rib,modify,726
C0013604,C0596790,edema,interstitial,located_at,1065
C0443246,jugular,left,jugular,modify,719
slightly,C0184511,slightly,improved,modify,718
C0205090,C0015385,right,extremity,modify,718
C0443246,ij,left,ij,modify,715
C0205277,C0013687,loculated,effusion,modify,713
C0205251,C0024109,low,lung,modify,712
C0205090,C0205102,right,internal,modify,710
C1705504,svc,tip,svc,located_at,701
C0205360,C0025080,stable,devices,modify,712
C0443246,C0035561,left,rib,modify,696
C0205090,costophrenic,right,costophrenic,modify,680
C0004144,C0796494,atelectasis,lobe,located_at,676
C0004144,C0178499,atelectasis,base,located_at,683
C0205090,C0589488,right,subclavian,modify,666
slightly,C0392756,slightly,decreased,modify,666
C0205307,C0018787,normal,heart,modify,666
C1704258,C0262950,abnormality,osseous,located_at,682
blunting,C0013687,blunting,effusion,suggestive_of,664
C0205171,C1306645,single,radiograph,modify,645
cavoatrial,C0205144,cavoatrial,junction,modify,667
C4068863,C0003483,tortuous,aorta,modify,635
C0004144,C0024109,atelectasis,lung,located_at,637
C0205360,C0018800,stable,cardiomegaly,modify,632
C0179740C0205132,C0015385,picc line,extremity,located_at,633
C0205217,C0456389,increase,size,modify,630
C0392756,C0013687,decrease,effusion,modify,625
C0175730,C1705504,tube,tip,located_at,1203
C1282910,quadrant,upper,quadrant,modify,618
costophrenic,C0205143,costophrenic,angle,located_at,704
C0029053,parenchymal,opacities,parenchymal,located_at,690
C0234621,C0678594,visualized,structures,modify,606
tiny,C0032326,tiny,pneumothorax,modify,605
C0439794,C0029053,dense,opacity,modify,605
C0456389,C0013687,size,effusion,modify,647
C0205132,C0015385,line,extremity,located_at,669
C0205360,cardiomediastinal,stable,cardiomediastinal,modify,600
C0205093,C1306645,lateral,radiographs,modify,598
C1705504,cavoatrial,tip,cavoatrial,located_at,595
C0205217,C0522501,increased,markings,modify,646
aeration,C0024109,aeration,lung,located_at,600
ap,C1306645,ap,radiograph,modify,585
C0205090,C0441994,right,lower,modify,599
C0205090,C0018827,right,ventricle,modify,569
C0001861,C1883067,air,space,located_at,626
C0180499,C0025066,drain,mediastinal,located_at,1017
C0205081,C0013604,moderate,edema,modify,561
C0449584,C0024109,opacification,lung,located_at,561
C0205090,C0179740,right,picc,modify,559
C0443246,C0015385,left,extremity,modify,558
C0029053,C0032285,opacity,pneumonia,suggestive_of,556
jugular,C0042449,jugular,vein,located_at,697
C0750532,C0442800,mildly,enlarged,modify,554
C0021102,C0175730,placement,tube,located_at,570
C0179740,C0179740C0205132,picc,picc line,modify,1095
aeration,C0178499,aeration,base,located_at,549
C0205217,C0013604,increase,edema,modify,547
new,C0029053,new,opacity,modify,544
C1705504,C0205144,tip,junction,located_at,542
C0205132,ij,line,ij,located_at,570
C0205322,C0032326,persistent,pneumothorax,modify,540
C1710706,C0024109,zone,lung,located_at,866
C0302908,C0032225,fluid,pleural,located_at,803
C0199168,C1521721,medical,support,modify,658
C0205322,C0013604,persistent,edema,modify,539
C0184511,C0013604,improved,edema,modify,547
C0205090,C0444598,right,middle,modify,544
C0000768,C0032225,abnormalities,pleural,located_at,590
C1542147,C0024109,main,pulmonary,modify,528
prosthetic,C0184252,prosthetic,valve,modify,524
greater,C0205090,greater,right,modify,640
C1705504,C0225594,tip,carina,located_at,527
C1705504,C0018792,tip,atrium,located_at,520
C0333051,C0025066,shift,mediastinal,located_at,623
C0443246,C0179740,left,picc,modify,511
C0522501,C0024109,markings,pulmonary,located_at,652
C0032326,C0032225,pneumothorax,pleural,located_at,507
C0522015,C1306645,upright,radiograph,modify,506
C1547225,C0029053,mild,opacities,modify,504
C0085590,ij,catheter,ij,located_at,618
redemonstration,C0029053,redemonstration,opacities,modify,498
C0179740,C0015385,picc,extremity,located_at,549
compressive,C0004144,compressive,atelectasis,modify,493
C1705504,C0085590,tip,catheter,located_at,892
C0175730,C0225594,tube,carina,located_at,488
C0205090,C0013687,right,effusions,modify,496
C0040590,C0175730,tracheostomy,tube,modify,504
C0934502,C0013687,layering,effusion,modify,483
C0392756,C0013604,decreased,edema,modify,483
C0542339,C0205284,inferior,margin,modify,481
C0441994,C0817096,lower,thoracic,modify,480
C0029053,C1883067,opacities,space,located_at,492
C0439739,C0522501,reticular,markings,modify,476
C0750502,C1272706,significant,interval,modify,474
C0522015,C0449911,upright,view,modify,474
C0205132,jugular,line,jugular,located_at,816
C0442822,C0013687,trace,effusion,modify,471
C0025066,silhouette,mediastinal,silhouette,located_at,543
C0750502,C0000768,significant,abnormalities,modify,470
two,C0449911,two,views,modify,470
C0205081,C0018800,moderate,cardiomegaly,modify,466
definite,C0032326,definite,pneumothorax,modify,463
C0180499,C0032225,drain,pleural,located_at,819
C0032790,C0392747,postoperative,changes,modify,460
C0205081,C0456389,moderate,sized,modify,459
C0032326,C0024109,pneumothorax,pulmonary,located_at,454
C0442808,C0029053,increasing,opacity,modify,453
C0205093,C0817096,lateral,chest,modify,452
C0029053,perihilar,opacities,perihilar,located_at,564
C0085590,C0589488,catheter,subclavian,located_at,563
C1705504,C0003842,tip,artery,located_at,446
C0238767,C0178499,bilateral,bases,modify,445
et,C0175730,et,tube,modify,444
C0004144,bibasilar,atelectasis,bibasilar,located_at,631
C0205297,C0029053,nodular,opacity,modify,440
C0449468,C1517945,volume,loss,modify,490
retrocardiac,C0017446,retrocardiac,region,located_at,457
C0443246,C0029053,left,opacities,modify,477
C1282910,C0025066,superior,mediastinum,modify,436
grossly,C0442739,grossly,unchanged,modify,430
C0205266,C0005978,intact,wires,modify,431
C0443246,sided,left,sided,modify,428
C1521721,C1523994,support,equipment,modify,427
C0439064,C0175722,multiple,clips,modify,423
C0449774,C0024109,pattern,lungs,located_at,413
C0549207,C0242821,vertebral,body,located_at,447
C0449584,C0178499,opacification,base,located_at,410
C0004144,C1184146,atelectasis,basilar,located_at,466
C0038846,C1306645,supine,radiograph,modify,408
C0003483,C0230467,aortic,arch,located_at,421
C0444598,C0796494,middle,lobe,modify,400
C0521530,C0032225,consolidation,pleural,located_at,399
C0042449,C0205132,venous,line,located_at,425
C0028259,C0024109,nodules,pulmonary,located_at,430
C1282910,C0439801,upper,limits,modify,394
C0549183,C0040578,midline,trachea,modify,395
C0012634,airspace,disease,airspace,located_at,389
C0238767,C0817096,bilateral,chest,modify,387
C1304890,C0175730,enteric,tube,modify,397
C0184511,C0029053,improved,opacities,modify,387
C0442739,C0025080,unchanged,devices,modify,433
C0521530,C1184146,consolidation,basilar,located_at,406
C1282910,C0000726,upper,abdomen,modify,384
hazy,C0029053,hazy,opacity,modify,383
projecting,C1705504,projecting,tip,modify,382
C0439064,C0016658,multiple,fractures,modify,380
C0011945,C0085590,dialysis,catheter,modify,382
C0700321,C1265611,small,amount,modify,377
C0205090,midlung,right,midlung,modify,375
C0333482,C0006660,atherosclerotic,calcifications,modify,377
C0849355,C0175730,removed,tube,modify,426
C0205219,C0449774,diffuse,pattern,modify,368
jugular,C0205099,jugular,central,modify,370
C0005978,C0038293,wires,sternal,located_at,621
C0205200,C0029053,confluent,opacity,modify,363
C0029053,C1710706,opacity,zone,located_at,390
C0205360,C0392747,stable,changes,modify,361
C0442739,C0085590,unchanged,catheter,modify,361
C0442739,C0456389,unchanged,size,modify,359
C0175730,C0038351,tube,stomach,located_at,371
C0205090,sided,right,sided,modify,358
C0205090,C0029053,right,opacities,modify,423
C0332464,C0025066,widening,mediastinum,located_at,359
C0441889,C0225594,level,carina,located_at,361
C0021102,C0085590,placement,catheter,located_at,358
C0933845,C0024109,parenchyma,lung,located_at,533
C0205307,C0876954,normal,contours,modify,354
C0392747,C0817096,changes,chest,located_at,354
pa,C0449911,pa,views,modify,357
C0444598,svc,mid,svc,modify,353
within,C0439801,within,limits,modify,352
C0012634,C0024109,disease,lung,located_at,350
pa,C1306645,pa,radiographs,modify,346
C0205217,C0449584,increased,opacification,modify,346
similar,C0700364,similar,appearance,modify,346
C0442739,C0018800,unchanged,cardiomegaly,modify,353
C0180499,C0817096,drains,thoracic,located_at,466
C0750502,C0013687,significant,effusion,modify,341
C0449584,C0004144,opacification,atelectasis,suggestive_of,341
subsequent,C1306645,subsequent,radiograph,modify,341
C0332271,C0029053,worsening,opacities,modify,340
C0589488,C0205132,subclavian,line,located_at,544
C0205307,C4068833,normal,vascularity,modify,339
sided,C0032225,sided,pleural,modify,334
C0015252,C0085590,removal,catheter,located_at,334
dual,lead,dual,lead,modify,333
C1272706,C0021925,interval,intubation,modify,347
C1547225,prominence,mild,prominence,modify,331
C0733755,C0175730,position,tube,located_at,506
C0332152,C0947630,prior,study,modify,330
C0184511,C0449468,improved,volumes,modify,330
pigtail,C0180499,pigtail,drain,modify,333
C0449584,C0934569,opacification,hemithorax,located_at,329
C0038846,C0449911,supine,view,modify,327
C0000768,C0035561,deformities,rib,located_at,332
C0205307,C0262950,unremarkable,bones,modify,342
C0444598,C0817096,mid,thoracic,modify,321
C0442739,C0013604,unchanged,edema,modify,358
C0521530,C0178499,consolidation,base,located_at,324
C0029053,C0008767,opacities,scarring,suggestive_of,322
C1282910,C0817096,upper,chest,modify,320
costophrenic,sulci,costophrenic,sulci,located_at,318
C0020564,silhouette,enlargement,silhouette,located_at,317
C1705504,C1282910,tip,superior,located_at,335
C0700148,C0005847,congestion,vascular,located_at,317
new,C0521530,new,consolidation,modify,315
C0449774,C0013604,pattern,edema,suggestive_of,316
C0205090,C0446516,right,arm,modify,313
C0596790,C0024109,interstitial,pulmonary,modify,333
C0445346,C0085590,tunneled,catheter,modify,313
C0205307,C0040300,unremarkable,tissues,modify,331
C1272706,C1514893,interval,resolution,modify,312
clear,C0933845,clear,parenchyma,modify,311
C0547040,C0029053,minimal,opacity,modify,309
C0205322,C0449584,persistent,opacification,modify,308
C0332271,C0013604,worsening,edema,modify,307
C1547225,C0004144,mild,atelectasis,modify,306
C0392756,C0029053,decreased,opacities,modify,305
C0010383,C0005847,crowding,vasculature,modify,324
C0522501,C0596790,markings,interstitial,located_at,547
C0205322,C0449468,persistent,volumes,modify,300
C1705504,C0038351,tip,stomach,located_at,299
redemonstration,C0013687,redemonstration,effusion,modify,299
C0589488,C0042449,subclavian,venous,modify,405
C0810633,C0018787,pacemaker,cardiac,located_at,371
C0687676,C0543467,post,surgical,modify,296
C0205095,C0035561,posterior,rib,modify,295
C0456389,C0032326,size,pneumothorax,modify,327
semiupright,C0449911,semiupright,view,modify,293
prominence,C0005847,prominence,vasculature,located_at,348
brachiocephalic,C0042449,brachiocephalic,vein,located_at,301
C0443246,C0179740C0205132,left,picc line,modify,291
C0205090,C1522410,right,apex,modify,290
C0332459,C0000768,compression,deformities,modify,290
C0003483,C0184252,aortic,valve,modify,470
C0205090,C0004454,right,axilla,modify,289
grossly,C0205307,grossly,unremarkable,modify,288
C0227952,jugular,sheath,jugular,located_at,338
C0029053,midlung,opacity,midlung,located_at,287
lead,C0810633,lead,pacemaker,located_at,296
two,C0175730,two,tubes,modify,283
C0547040,C0004144,minimal,atelectasis,modify,281
C0205386,C0003483,descending,aorta,modify,280
C0205413,C0521530,patchy,consolidation,modify,280
C0234621,C0262950,visualized,osseous,modify,280
C1282910,C1710706,upper,zone,modify,280
C0443246,C0018827,left,ventricular,modify,278
C0392747,C0024109,changes,lung,located_at,277
semierect,C1306645,semierect,radiograph,modify,276
C0332152,C1306645,prior,radiograph,modify,276
C0205322,C0521530,persistent,consolidation,modify,274
prominence,C0013604,prominence,edema,suggestive_of,272
old,C0016658,old,fracture,modify,272
C0443246,midlung,left,midlung,modify,272
C0521530,retrocardiac,consolidation,retrocardiac,located_at,279
C0033204,C0013687,probable,effusion,modify,269
subsegmental,C0004144,subsegmental,atelectasis,modify,274
C0029053,C0013687,opacity,effusion,suggestive_of,266
C0542339,C0225594,below,carina,modify,277
indistinct,C0005847,indistinct,vessels,modify,267
C0444598,zones,mid,zones,modify,265
C1705504,C1413046,tip,cava,located_at,264
C0179740C0205132,C0446516,picc line,arm,located_at,264
C0205090,C0179740C0205132,right,picc line,modify,263
C0026193,C0332469,minor,fissure,modify,262
ap,C0817096,ap,chest,modify,261
new,C0175730,new,tube,modify,260
C0439064,C0005978,multiple,wires,modify,259
C0205132,C0446516,line,arm,located_at,263
terminating,C1705504,terminating,tip,modify,282
C0444598,C1710706,mid,zone,modify,258
C1522577,C0817096,follow-up,chest,located_at,258
C0439801,C0220825,limited,evaluation,modify,262
C0205090,quadrant,right,quadrant,modify,257
C0205090,C0929176,right,hilum,modify,255
C0205132,C0004144,linear,atelectasis,modify,255
C0015252,C0180499,removal,drain,located_at,255
C0005847,C0522501,vascular,markings,located_at,276
C0392747,C0582103,change,examination,located_at,256
C0205322,C0004144,persistent,atelectasis,modify,253
C0449584,C0796494,opacification,lobe,located_at,252
C1609982,C0032326,residual,pneumothorax,modify,252
C0442808,C0013687,increasing,effusion,modify,252
C1522577,C1306645,follow-up,radiograph,modify,251
C0021102,jugular,placement,jugular,located_at,262
C0018787,C0025066,cardiac,mediastinal,modify,256
C0439794,C0521530,dense,consolidation,modify,249
C0443246,C0444598,left,mid,modify,255
C0817096,C0549207,thoracic,vertebral,located_at,249
multilevel,C0392747,multilevel,changes,modify,248
C0700124,C0003483,ectatic,aorta,modify,247
C1272706,C0553891,interval,extubation,modify,249
semierect,C0449911,semierect,view,modify,246
C0205132,C1705504,line,tip,located_at,396
C0392747,C0037004,changes,shoulders,located_at,245
C0175722,quadrant,clips,quadrant,located_at,244
C0449584,retrocardiac,opacification,retrocardiac,located_at,256
C0205360,C0085590,stable,catheter,modify,242
C1272706,C0332271,interval,worsening,modify,244
C0205171,lead,single,lead,modify,241
costophrenic,C1184482,costophrenic,sulcus,located_at,262
new,C0013687,new,effusion,modify,240
C0025066,C0876954,mediastinal,contours,located_at,287
C0443246,C0446516,left,arm,modify,240
C0029053,C0017446,opacity,region,located_at,244
C0521530,airspace,consolidation,airspace,located_at,235
new,C0085590,new,catheter,modify,234
C0205111,C0032225,apical,pleural,modify,233
C0205217,C0449468,increased,volumes,modify,240
C0333076,C0003483,tortuosity,aorta,located_at,232
C0205360,C0013604,stable,edema,modify,231
C0001861,C0006282,air,bronchograms,located_at,283
redemonstration,C0018800,redemonstration,cardiomegaly,modify,229
indistinctness,C0005847,indistinctness,vasculature,modify,238
semiupright,C1306645,semiupright,radiograph,modify,227
C0332835,C0024109,transplant,lung,located_at,378
C0543467,C0392747,surgical,changes,modify,229
C0443246,C1522410,left,apex,modify,224
C0442739,C0005978,unchanged,wires,modify,223
leads,C0018827,leads,ventricle,located_at,224
C0205090,C0205093,right,lateral,modify,227
C0205322,C0018800,persistent,cardiomegaly,modify,223
C0332152,C0185792,prior,sternotomy,modify,221
C0443157,C0678594,bony,structures,modify,256
C1547225,blunting,mild,blunting,modify,219
C0175722,C0004454,clips,axilla,located_at,314
C0205413,C0449584,patchy,opacification,modify,218
ij,C0042449,ij,venous,modify,245
sided,C0817096,sided,chest,modify,216
C0029053,C0596790,opacities,interstitial,located_at,335
C0175730,C0011980,tube,diaphragm,located_at,215
C1521721,C0205132,supporting,lines,modify,215
C0443246,C0004454,left,axilla,modify,215
C0547040,blunting,minimal,blunting,modify,213
C1547307,C0733755,satisfactory,position,modify,211
C0175730ng,C0175730,ng tube,tube,modify,211
prominent,C0522501,prominent,markings,modify,213
C0018896,C0025080,assist,device,modify,213
follow,C1282911,follow,up,modify,211
C0810633,C0817096,pacemaker,chest,located_at,211
C0238767,costophrenic,bilateral,costophrenic,modify,208
C0443246,bibasilar,left,bibasilar,modify,207
C0443246,C0018787,left,heart,modify,207
C0205360,C0032326,stable,pneumothorax,modify,206
C0392747,C0025066,changes,mediastinum,located_at,215
C0205217,C0178587,increased,density,modify,205
C0443246,brachiocephalic,left,brachiocephalic,modify,205
leads,C0018792,leads,atrium,located_at,205
C0006660,C0230467,calcification,arch,located_at,204
C0205090,pigtail,right,pigtail,modify,203
definite,C0013687,definite,effusion,modify,202
C0205081,C0032326,moderate,pneumothorax,modify,201
prominent,C0005847,prominent,vasculature,modify,203
C0849355,C0085590,removed,catheter,modify,202
fields,C0024109,fields,lung,located_at,287
C0179740C0205132,C0205132,picc line,line,located_at,267
C0441994,C1710706,lower,zone,modify,201
C0549177,C0032326,large,pneumothorax,modify,200
C0449438,C0687676,status,post,modify,276
C0205132,C0733755,lines,position,located_at,379
C0205090,perihilar,right,perihilar,modify,199
prominent,silhouette,prominent,silhouette,modify,199
C0018787,C0205284,heart,border,located_at,221
C0442739,C0032326,unchanged,pneumothorax,modify,199
C0441987,C0475311,side,port,modify,200
C0004144,retrocardiac,atelectasis,retrocardiac,located_at,211
remaining,C0449468,remain,volumes,modify,198
subsequent,C0449911,subsequent,view,modify,197
possible,C0013687,possible,effusion,modify,197
C0205200,C0449584,confluent,opacification,modify,196
C0205090,C0441987,right,side,modify,195
C0000768,C0205358,abnormalities,soft,located_at,194
redemonstration,C0392747,redemonstration,changes,modify,194
C0205099,C0024109,central,pulmonary,modify,193
C0542339,C0011980,below,diaphragm,located_at,193
blunting,C1184482,blunting,sulcus,located_at,193
C0205197,C0449584,complete,opacification,modify,192
C0332448,C0024109,infiltrates,lungs,located_at,195
C1521721,C0175730,supporting,tubes,modify,191
C1704258,C0443157,abnormality,bony,located_at,240
C1705504,C0179740C0205132,tip,picc line,located_at,261
C0542339,C0441889,below,level,modify,190
C0205194,C0029053,coarse,opacities,modify,189
C0205234,C0332448,focal,infiltrates,modify,189
pa,C0817096,pa,chest,located_at,188
partially,C0234621,partially,visualized,modify,188
C0444598,C1282910,mid,superior,modify,192
C0024109,C1522410,lung,apex,located_at,267
C0012727,C0016658,displaced,fractures,modify,188
bilaterally,C0029053,bilaterally,opacities,modify,189
C0238767,airspace,bilateral,airspace,modify,188
C0392747,C0022417,changes,joints,located_at,187
C0205360,C0456389,stable,size,modify,187
C0205307,C0005847,normal,vessels,modify,187
slightly,prominent,slightly,prominent,modify,186
C0302908,C0332469,fluid,fissure,located_at,186
C0000768,C0040300,abnormalities,tissue,located_at,186
C0441994,zones,lower,zones,modify,186
C0750532,prominent,mildly,prominent,modify,185
C0521530,bibasilar,consolidation,bibasilar,located_at,219
slightly,C0332271,slight,worsening,modify,184
C0443246,C0205093,left,lateral,modify,185
C0205093,C0035561,lateral,rib,modify,184
C0205161,C0029053,abnormal,opacities,modify,184
C0392756,C0032326,decreased,pneumothorax,modify,184
C0553534,C0449438,cardiopulmonary,status,located_at,183
C1282910,C0441889,above,level,located_at,183
C0205217,prominence,increased,prominence,modify,181
seventh,C0035561,seventh,rib,modify,181
C0456389,silhouette,size,silhouette,located_at,237
streaky,C0029053,streaky,opacities,modify,180
C0442016,C0562458,epicardial,pacing,located_at,228
C0562458,C0005978,pacing,wires,modify,181
C0032326,C0817096,pneumothorax,chest,located_at,179
C0443246,C0008913,left,clavicle,modify,179
C0205219,C0522501,diffuse,markings,modify,179
C0029053,C0001861,opacities,air,located_at,184
midlung,C1710706,midlung,zone,located_at,261
C0522501,C0013604,markings,edema,suggestive_of,178
C0443246,C0205102,left,internal,modify,178
C0205094,C0817096,anterior,chest,modify,178
C0205219,C0029453,diffuse,osteopenia,modify,178
C0205090,C0020164,right,humeral,modify,177
C0443246,quadrant,left,quadrant,modify,177
very,C0205251,very,low,modify,177
C0444099,C0524724,skin,staples,located_at,193
C0205234,consolidations,focal,consolidations,modify,177
sixth,C0035561,sixth,rib,modify,176
C0205090,C0008913,right,clavicle,modify,176
C0205307,C0024109,unremarkable,lung,modify,176
C0205360,C0005978,stable,wires,modify,176
C0085590,C0003842,catheter,artery,located_at,185
C0205099,C0085590,central,catheter,modify,178
C0205081,C0442800,moderately,enlarged,modify,175
C0205090,C0018787,right,heart,modify,175
C1705504,C0017446,tip,region,located_at,174
C0443246,C0175730,left-sided,tube,modify,174
